Variable,ID,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo..Red.Cómo.Vamos.,Anillo,Capitulo..Bogotá.,Entidad.responsable,Metodo.de.recolección,Descripción.del.indicador,Observaciones,ctype
Ciudad,Ciudad,Ciudad del dato,No Aplica,Texto,Nombre de la Ciudad,0. Identificación Datos,Identificación Datos,0. Identificación Datos,.,.,.,.,Ca
Territorio,Localidad,Localidad,No Aplica,Texto,Nombre de la Localidad,0. Identificación Datos,Identificación Datos,0. Identificación Datos,.,.,.,"En el dato correspondiente a la ciudad se asigó el valor ""Total Bogotá""",Ca
Anio,Anio,Año del dato,No Aplica,Número,Año,0. Identificación Datos,Escenarios Transversales,0. Identificación Datos,.,.,.,.,Nu
01-d-001,v1_d_001,Población Total,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el número de personas que habitan en el área cabecera,.,Nu
01-d-002,v1_d_003,Población Hombres,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el número de hombres que habitan en el área cabecera,.,Nu
01-d-003,v1_d_004,Población Mujeres,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el número de hombres que habitan en el área cabecera,.,Nu
01-d-005,v1_d_005,Extensión territorial área km2 (area urbana),Secretaría de Planeación,Número,Kilómetros Cuadrados,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital en kilómetros cuadrados que tiene el mismo para el area urbana,.,Nu
01-d-006,v1_d_006,Extensión territorial área km2 (total),Secretaría de Planeación,Número,Kilómetros Cuadrados,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital  en kilometros cuadrados,.,Nu
01-d-007,v1_d_007,Extensión territorial área hectáreas,Secretaría de Planeación,Número,Hectáreas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital  en Hectáreas,.,Nu
01-d-008,v1_d_008,Densidad poblacional por Km2 (urbana),DANE,Tasa,Habitantes por cada Km2,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Define la razón existente entre el número de personas que habitan en un territorio y la cantidad de metros cuadrados que tiene el mismo para el area urbana,.,Nu
01-d-009,v1_d_009,Densidad poblacional por Km2 (total),DANE,Tasa,Habitantes por cada Km2,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Define la razón existente entre el número de personas que habitan en un territorio y la cantidad de Km2 que tiene el mismo,.,Nu
01-d-010,v1_d_010,Tasa  de Crecimiento de la Población,DANE,Porcentaje,Variación,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide la tasa de crecimiento interanual de la población,.,Nu
01-d-011,v1_d_011,Índice de Envejecimiento,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de personas con edades de 65 años y más edad sobre la poblaciones de 0-14 años,.,Nu
01-d-012,v1_d_012,Índice de Envejecimiento Hombres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de hombres con edades de 65 años y más edad sobre la poblaciones de 0-14 años,.,Nu
01-d-013,v1_d_013,Índice de Envejecimiento Mujeres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de mujeres con edades de 65 años y más edad sobre la poblaciones de 0-14 años,.,Nu
