Ciudad,Localidad,Anio,v1_d_001,v1_d_003,v1_d_004,v1_d_005,v1_d_006,v1_d_007,v1_d_008,v1_d_009,v1_d_010,v1_d_011,v1_d_012,v1_d_013,v1_d_014,v1_d_015,v1_d_016,v1_d_017,v1_d_018,v1_d_019,v1_d_020,v1_d_021,v2_p_009,v2_p_010,v2_p_012,v2_p_013,v2_p_014,v3_s_013,v3_s_014,v3_s_015,v3_s_009,v3_s_008,v3_s_016,v3_s_017,v3_s_012,v3_s_018,v3_s_019,v3_s_020,v3_s_021,v3_s_022,v3_s_023,v3_s_024,v3_s_025,v3_s_026,v3_s_005,v3_s_006,v3_s_011,v3_s_010,v3_s_027,v3_s_028,v3_s_029,v3_s_030,v3_s_031,v3_s_032,v3_s_033,v3_s_034,v3_s_035,v4_e_012,v4_e_013,v4_e_014,v4_e_015,v4_e_016,v4_e_019,v4_e_020,v4_e_021,v4_e_022,v4_e_023,v4_e_024,v4_e_025,v4_e_027,v4_e_028,v4_e_007,v4_e_029,v4_e_030,v4_e_031,v4_e_032,v4_e_033,v4_e_034,v4_e_035,v4_e_036,v4_e_037,v4_e_038,v4_e_039,v4_e_041,v4_e_042,v4_e_043,v4_e_044,v4_e_046,v4_e_047,v4_e_049,v4_e_051,v4_e_054,v4_e_055,v4_e_056,v4_e_057,v4_e_060,v4_e_061,v4_e_062,v4_e_063,v4_e_064,v4_e_065,v4_e_066,v4_e_067,v4_e_068,v4_e_069,v4_e_070,v4_e_071,v4_e_072,v4_e_073,v4_e_074,v4_e_075,v5_ml_006,v5_ml_007,v5_ml_008,v5_ml_012,v5_ml_014,v5_ml_015,v6_sc_014,v6_sc_015,v6_sc_016,v6_sc_017,v6_sc_018,v6_sc_012,v6_sc_019,v6_sc_020,v6_sc_021,v6_sc_022,v6_sc_023,v6_sc_011,v6_sc_025,v6_sc_026,v6_sc_027,v6_sc_005,v6_sc_029,v6_sc_030,v6_sc_031,v6_sc_032,v6_sc_033,v6_sc_034,v7_v_012,v7_v_013,v7_v_014,v7_v_015,v7_v_018,v7_v_020,v7_v_022,v7_v_024,v7_v_025,v7_v_026,v7_v_029,v7_v_030,v7_v_031,v7_v_032,v7_v_033,v7_v_034,v7_v_035,v7_v_036,v7_v_037,v7_v_038,v7_v_039,v7_v_040,v7_v_041,v7_v_042,v7_v_043,v7_v_048,v7_v_049,v7_v_050,v7_v_054,v7_v_055,v7_v_059,v7_v_062,v7_v_064,v7_v_065,v7_v_012_1,v8_ma_009,v8_ma_010,v8_ma_011,v8_ma_04,v8_ma_012,v8_ma_013,v7_v_003,v7_v_006,v7_v_027_1,v7_v_018_1,v8_ma_023,v8_ma_024,v7_v_020_1,v7_v_022_1,v7_v_024_1,v7_v_026_1,v0_ep_004,v0_ep_005,v0_ep_001,v0_ep_006,v8_ma_042,v8_ma_046,v8_ma_047,v8_ma_053,v9_m_007,v9_m_018,v9_m_023,v9_m_024,v9_m_025,v9_m_026,v9_m_027,v9_m_028,v9_m_048,v9_m_049,v9_m_050,v9_m_051,v9_m_052,v9_m_053,v9_m_054,v9_m_055,v9_m_056,v9_m_057,v9_m_068,v9_m_070,v9_m_076,v1_cr_008,v1_cr_010,v1_cr_011,v1_cr_012,v1_cr_015,v1_cr_016,v1_cr_017,v1_cr_018,v1_cr_019,v1_cr_021,v1_cr_022,v1_cr_023,v1_cr_024,v1_cr_025,v1_cr_026,v1_cr_027,v1_cr_028,v1_cr_029,v1_cr_030,v1_cr_031,v1_cr_032,v1_cr_033,v1_cr_034,v1_cr_035,v1_cr_036,v1_cr_037,v1_cr_041,v2_pc_018,v2_pc_019,v2_pc_020,v3_gp_033,v3_gp_038,v4_ee_004,v4_ee_005
Bogotá,Usaquén,2005,444924,204202,240722,NA,65.32,6531.57,NA,6811.9,NA,0.4943,0.4061,0.5802,0.45,0.4645,0.4376,0.16,1.0999999999999999,76.74,74.73,78.85,NA,NA,NA,NA,NA,1.053,NA,1.693,1.121,1.051,0.844,1.051,15.22,NA,16,636,NA,NA,NA,NA,NA,2.6,35.59,11.73,24.28,11.03,17.0,0.0,3.28,NA,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,10860,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409,NA,NA,NA
Bogotá,Usaquén,2006,449781,206706,243075,NA,65.32,6531.57,NA,6886.26,0.0109,0.52,0.4291,0.6101,0.45,0.4578,0.4338,NA,NA,76.88,74.87,79.0,NA,NA,NA,NA,NA,0.926,NA,1.493,0.941,0.924,0.822,0.923,13.59,NA,25,646,NA,NA,NA,NA,NA,2.1,53.3,11.799999999999999,25.67,11.37,14.0,6.67,0.0,NA,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,10454,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4641,NA,NA,NA
Bogotá,Usaquén,2007,454703,209261,245442,NA,65.32,6531.57,NA,6961.62,0.0109,0.55,0.4535,0.6427,0.44,0.4514,0.4296,NA,NA,77.03,75.01,79.15,0.572,94.37,NA,3.3%,0.11,0.902,NA,1.263,0.897,0.892,0.767,0.902,15.24,NA,16,668,NA,NA,NA,NA,NA,2.1,50.43,12.620000000000001,25.98,11.6,20.0,0.0,0.0,NA,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,9389,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1999999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.18,10.22,4.64,2.79,24.77,1.24,0.62,3.4099999999999997,NA,0.62,NA,NA,NA,NA,NA,NA,NA,53.64,51.980000000000004,51.019999999999996,0.5189,NA,NA,NA
Bogotá,Usaquén,2008,459669,211846,247823,NA,65.32,6531.57,NA,7037.65,0.0109,0.58,0.4795,0.6781,0.44,0.4447,0.4255,NA,NA,77.17,75.15,79.3,NA,NA,NA,NA,NA,0.906,0.911,1.24,0.918,0.908,0.636,0.906,21.6,NA,16,826,38858,NA,NA,NA,NA,3.0,15.54,12.6,28.22,11.4,22.0,0.0,6.8,NA,22.0,NA,30,3.2,NA,1.1346,NA,1.2297,1.1699,0.893,NA,NA,NA,NA,30,NA,NA,NA,9458,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.46,0.55,NA,NA,NA,152123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,23183,NA,NA,NA,NA,NA,NA,0.999,0.997,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461,NA,NA,NA
Bogotá,Usaquén,2009,464656,214436,250220,NA,65.32,6531.57,NA,7114.0,0.0108,0.61,0.507,0.7166,0.43,0.4378,0.4212,NA,NA,77.33,75.29,79.47,NA,NA,NA,NA,NA,1.029,1.028,1.322,0.998,1.029,1.004,1.028,21.3,0.06,20,792,37333,0.078,NA,NA,NA,2.8,31.0,13.0,18.09,7.6,15.0,0.0,0.0,0.0,15.0,14.8,37,3.2,NA,1.1033,1.055,1.1572,1.1617,0.9051,79323,NA,NA,NA,543,NA,NA,NA,9295,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0,NA,NA,NA,NA,NA,NA,1,0.2,234,46.1,46,8.8,1201,239.3,479,90.6,295,55.3,NA,NA,NA,15.5,27.8,3.2,15,0.05,0.54,0.56,NA,NA,NA,155576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5749,NA,NA,1582,0,5,NA,NA,NA,23446,NA,NA,NA,NA,NA,NA,0.999,0.997,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26712,NA,NA,NA,15.3,NA,NA,NA,7,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.23,60.540000000000006,38.29,10.56,5.74,5.489999999999999,29.68,4.21,1.48,7.969999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA
Bogotá,Usaquén,2010,469635,217002,252633,38.07,65.32,6531.57,12336.09,7190.23,0.0107,0.65,0.5358,0.7577,0.42,0.4308,0.417,NA,NA,77.49,75.43,79.65,NA,NA,NA,NA,NA,1.015,1.014,1.276,1.068,1.015,0.745,0.986,19.400000000000002,0.056,22,672,38716,0.077,NA,NA,NA,3.1,31.6,12.4,18.0,7.1,20.0,0.0,3.4,3.4,20.0,11.9,38,6.3,NA,1.1134,1.014,1.1436,1.2055,0.9263,77979,23,3004,103,3627,1818,NA,1944,10860,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0,NA,NA,NA,NA,NA,NA,6,1.3,279,59.2,38,7.9,1247,261.9,636,134.6,276,58.3,NA,NA,NA,22.1,36.6,3.4,16,0.23,0.49,0.75,NA,NA,NA,159073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5982,NA,NA,1513,31,4,NA,NA,NA,23826,NA,NA,NA,NA,NA,116,0.999,0.997,0.995,NA,18936048,4496078,NA,NA,NA,NA,33368,24500,NA,NA,23947,NA,NA,NA,5.7491,27,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477,NA,NA,NA
Bogotá,Usaquén,2011,474773,219717,255056,38.07,65.32,6531.57,12471.05,7268.89,0.0109,0.68,0.566,0.798,0.42,0.4273,0.416,NA,NA,77.64,75.58,79.82,0.54,95.4,0.103,3.4%,0.1,0.956,0.955,1.222,0.937,0.956,0.908,0.954,19.400000000000002,0.05,11,642,35379,0.075,NA,NA,NA,3.0,68.0,12.6,17.86,7.65,19.0,0.0,0.0,6.9,19.0,17.9,41,5.5,NA,1.0971,0.983,1.1077,1.1603,1.0066,77073,NA,3009,101,3377,1732,NA,1833,10454,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0,0.612,0.569,0.071,0.029,0.2205,0.598,9,1.9,319,67.2,61,12.8,1606,338.3,650,136.9,216,45.5,NA,NA,NA,13.9,28.4,4.2,21,0.05,0.32,0.52,5.800000000000001,2.1999999999999997,3.6999999999999997,162641,0.552,0.144,0.275,3351,3351,0.012,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771,NA,NA,NA,4032,6602,475787,1540,0,2,NA,NA,NA,24275,NA,NA,NA,NA,NA,162,1.0,0.998,0.991,NA,19822346,5001575,0.869,NA,68.10000000000001,0.842,5934,0,NA,NA,23590,NA,NA,735582,7.1613,34,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.44,74.5,38.09,14.56,7.5200000000000005,2.1999999999999997,17.080000000000002,3.26,0.96,3.0,28.65,1.58,12.67,NA,NA,NA,NA,NA,NA,54.04,50.96000000000001,49.3,0.401,0.11,6028,2825
Bogotá,Usaquén,2012,479830,222331,257499,38.07,65.32,6531.57,12603.89,7346.32,0.0107,0.72,0.5969,0.8408,0.42,0.4241,0.4154,NA,NA,77.8,75.72,80.0,NA,NA,NA,NA,NA,0.987,0.986,1.086,0.955,0.987,0.884,0.984,20.47,0.054,19,599,33561,0.07,NA,NA,NA,2.9,16.3,13.200000000000001,19.3,7.66,18.0,0.0,3.4,0.0,18.0,16.5,40,3.9,NA,1.087,0.955,1.0642,1.1856,1.0091,76222,NA,2549,52,3100,1861,NA,1913,9389,0.03,0.003,0.024,NA,0.021,NA,0.04,NA,0.031,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,NA,NA,NA,NA,NA,NA,4,0.8,539,112.3,47,9.8,1719,358.3,619,129.3,130,27.1,NA,NA,NA,9.4,26.7,5.0,24,0.05,0.2,0.41,NA,NA,NA,166433,NA,NA,NA,NA,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,571,NA,NA,NA,7461,17154,927441,1415,0,35,NA,NA,NA,24106,NA,NA,NA,NA,NA,184,0.999,0.998,0.993,NA,21204137,5208315,NA,NA,NA,NA,1594,3596,4.4,8.9,23547,5060,10044,669172,6.8774,33,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442,0.19,5725,1465
Bogotá,Usaquén,2013,484764,224799,259965,38.07,65.32,6531.57,12733.49,7421.86,0.0103,0.76,0.629,0.8872,0.42,0.4212,0.415,NA,NA,78.0,75.9,80.2,NA,NA,NA,NA,NA,1.157,1.154,1.19,1.003,1.157,0.988,1.15,18.060000000000002,0.048,11,603,34611,0.071,2.62,NA,NA,2.9,0.0,12.6,21.44,10.0,14.9,0.0,0.0,0.0,14.9,19.2,29,2.3,126,1.013,0.9849,1.0101,1.0759,0.914,75425,NA,2506,30,3036,1837,NA,1867,9458,0.029,0.005,0.024,0.007,0.022,0.005,0.037,0.004,0.033,0.002,0.067,NA,0.006,NA,0.045,NA,0.11,NA,0.058,NA,NA,NA,NA,24.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,NA,NA,NA,NA,NA,NA,1,0.2,707,145.4,41,8.1,2048,421.3,691,137.7,116,23.7,NA,NA,NA,12.8,24.5,3.3,16,0.13,0.3,0.46,NA,NA,NA,170224,NA,NA,NA,NA,NA,NA,14,6,0,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,6659,13903,869918,1452,0,4,NA,268819,33125,24819,3.3300000000000005,1938,NA,NA,NA,142,0.999,0.998,0.996,10244,20571919,5259355,NA,NA,NA,NA,13683,22761,NA,NA,23316,1924,3001,1124823,3.7131,18,5,8,2,1,1,NA,0.6911,0.2373,0.0715,0.5033,0.0845,0.412,0.218,0.1914,0.5905,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.06,69.19999999999999,31.869999999999997,10.76,5.96,2.4299999999999997,27.87,2.27,0.19,5.489999999999999,31.290000000000003,2.44,21.92,NA,25,NA,NA,NA,25.0,NA,NA,NA,0.499,0.22,6031,1449
Bogotá,Usaquén,2014,489526,227071,262455,38.07,65.32,6531.57,12858.58,7494.77,0.0098,0.8,0.6626,0.9364,0.42,0.4187,0.4149,NA,NA,NA,NA,NA,0.488,95.3,0.052,3.7%,0.09,0.912,0.911,1.276,0.938,0.912,0.897,0.905,16.1,0.0505,23,550,30418,0.063,0.09,0.906,0.0024,3.1,33.3,12.15,22.57,10.0,13.4,0.0,0.0,10.4,6.9,21.2,43,4.57,121,1.001,1.001,0.991,1.0694,0.9219,74526,444,2406,543,3023,1679,3866,2666,9295,0.0261,0.006,0.0241,0.009,NA,NA,NA,NA,NA,NA,0.072,0.02,0.007,0.005,0.047,0.014,0.112,0.035,0.069,0.019,26.9,27.4,24.2,25.7,9.09,72.7,18.18,93.65,6.35,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,NA,0.599,0.578,NA,NA,0.2492,NA,6,1.2257,676,138.0928,70,14.3,2159,441.0389,749,153.0052,106,21.7,NA,NA,NA,13.1,31.8676,4.1,20,0.17,0.19,0.51,4.8,1.6,3.2,173994,0.483,0.065,0.399,2936,2936,0.01,21,36,0,NA,NA,NA,NA,NA,852,NA,2517,8,NA,NA,NA,5875,16580,680156,1504,NA,0,NA,280790,32953,24931,4.2,12928,7.000000000000001,340.0,166599,NA,0.9995,0.9981,0.9945,10186,20592946,5144242,0.873,0.1027,74.5,0.742,12037,64864,NA,NA,23013,5281,9294,884167,5.7198,28,14,6,5,0,2,NA,0.85,0.09,0.06,0.57,0.08,0.35,0.2,0.22,0.58,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,5,136,311,NA,NA,NA,NA,NA,NA,7158,1509
