Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
9.1   Desarrollar infraestructura de calidad. fiable. sostenible y resistente. incluidas la infraestructura regional y transfronteriza. para apoyar el desarrollo económico y el bienestar humano. con un enfoque en el acceso asequible y equitativo para todos.,9.1.2.1 Volumen  de pasajeros transportados, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
9.1   Desarrollar infraestructura de calidad. fiable. sostenible y resistente. incluidas la infraestructura regional y transfronteriza. para apoyar el desarrollo económico y el bienestar humano. con un enfoque en el acceso asequible y equitativo para todos.,9.1.2.2 Volumen  de carga transportado, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
9.2   Promover la industrialización incluyente y sostenible. y en 2030 aumentar de manera significativa la participación de la industria en empleo y el el PIB de acuerdo con las circunstancias nacionales. y duplicar su participación en los PMA.,9.2.1.1 Valor Agregado Bruto por habitante,DANE (2014p),Pendiente,"21,698,275.00",Pendiente,Pendiente,Pendiente,"10,901,339.00",Pendiente,Pendiente,Pendiente,Pendiente,"Pendiente
"
9.2   Promover la industrialización incluyente y sostenible. y en 2030 aumentar de manera significativa la participación de la industria en empleo y el el PIB de acuerdo con las circunstancias nacionales. y duplicar su participación en los PMA.,9.2.2.1 Porcentaje de ocupados que pertenecen a la industria manufacturera,DANE-GEIH,14.90,15.40,17.70,9.90,13.60,12.30,15.00,20.50,16.60,17.70,"
17.3
"
9.3   Aumentar el acceso de las pequeñas empresas industriales y de otro tipo. en particular en los países en desarrollo. a los servicios financieros. incluyendo crédito asequible y su integración en las cadenas de valor y los mercados.,9.3.2.1 Porcentaje de microestablecimientos que solicitó un crédito,DANE,28.80,16.30,15.60,9.00,25.20,27.80,26.00,17.80,21.30,15.60,"
21.4
"
9.3   Aumentar el acceso de las pequeñas empresas industriales y de otro tipo. en particular en los países en desarrollo. a los servicios financieros. incluyendo crédito asequible y su integración en las cadenas de valor y los mercados.,9.3.2.1 Porcentaje de microestablecimientos que solicitó un crédito y le fue aprobado,DANE,85.70,87.60,88.40,89.40,92.30,95.30,92.90,90.70,94.90,88.40,"
95.2
"
9.5   Potenciar la investigación científica. mejorar la capacidad tecnológica de los sectores industriales en todos los países. especialmente los países en desarrollo. incluyendo la promoción de la innovación en investigación y desarrollo I&D y el aumento sustancialmente el número de agentes de desarrollo por cada millón de personas  y el gasto público y privado en I+D para el año 2030.,9.5.1.1  Gasto en  Investigación y desarrollo (I + D) como porcentaje del PIB., ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
9.5   Potenciar la investigación científica. mejorar la capacidad tecnológica de los sectores industriales en todos los países. especialmente los países en desarrollo. incluyendo la promoción de la innovación en investigación y desarrollo I&D y el aumento sustancialmente el número de agentes de desarrollo por cada millón de personas  y el gasto público y privado en I+D para el año 2030.,9.5.2.1 Investigadores (en equivalente a tiempo completo) por millón de habitantes, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"
No Disponible
"
c.    Para 2020 Aumentar significativamente el acceso a las TIC y luchar por ofrecer acceso universal y asequible a Internet en los países menos desarrollados,9.c.1.1 Número de suscriptores de Internet fijo por cada 1000 habitantes,MINTIC,154.5,194.4,161.1,130.1,134.5,169.5,181,81.1,290.4,"
89.3	",206.3
c.    Para 2020 Aumentar significativamente el acceso a las TIC y luchar por ofrecer acceso universal y asequible a Internet en los países menos desarrollados,9.c.1.1 Número de suscriptores de Internet móvil por cada 1000 habitantes,MINTIC,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"No Disponible
"
