Ciudad,Localidad,Anio,v04_e_012,v04_e_001,v04_e_013,v04_e_014,v04_e_015,v04_e_016,v04_e_017,v04_e_018,v04_e_002,v04_e_003,v04_e_004,v04_e_005,v04_e_019,v04_e_020,v04_e_021,v04_e_022,v04_e_023,v04_e_024,v04_e_025,v04_e_027,v04_e_028,v04_e_007,v04_e_029,v04_e_030,v04_e_031,v04_e_032,v04_e_033,v04_e_034,v04_e_035,v04_e_036,v04_e_037,v04_e_038,v04_e_039,v04_e_041,v04_e_042,v04_e_043,v04_e_044,v04_e_046,v04_e_047,v04_e_049,v04_e_051,v04_e_052,v04_e_053,v04_e_054,v04_e_055,v04_e_056,v04_e_057,v04_e_059,v04_e_060,v04_e_061,v04_e_062,v04_e_063,v04_e_064,v04_e_065,v04_e_066,v04_e_067,v04_e_068,v04_e_069,v04_e_070,v04_e_071,v04_e_072,v04_e_073,v04_e_074,v04_e_075,v04_e_076,v04_e_077,v04_e_078,v04_e_079,v04_e_080,v04_e_081,v04_e_082,v04_e_083,v04_e_084,v04_e_085,v04_e_086,v04_e_087,v04_e_088,v04_e_089,v04_e_090,v04_e_091,v04_e_092,v04_e_093,v04_e_094,v04_e_095,v04_e_096,v04_e_097,v04_e_098,v04_e_099,v04_e_100,v04_e_101,v04_e_102,v04_e_103,v04_e_104,v04_e_105,v04_e_106,v04_e_107,v04_e_108,v04_e_109,v04_e_110,v04_e_111,v04_e_112,v04_e_113
Bogotá,Total Bogotá,1999,0.8740,NA,0.6903,1.0226,0.9382,0.5822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0430,0.0330,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.0270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogotá,Total Bogotá,2000,0.8800,NA,0.6966,1.0070,0.9550,0.6150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0440,0.0320,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0.0240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogotá,Total Bogotá,2001,0.9000,NA,0.7065,1.0220,0.9830,0.6350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450,0.0320,NA,NA,NA,NA,NA,NA,NA,NA,0.079,0.0260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bogotá,Total Bogotá,2002,0.9210,NA,0.7186,1.1411,1.0290,0.6470,NA,NA,NA,0.9035,0.7805,0.4404,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0330,0.0260,NA,NA,NA,NA,NA,NA,NA,NA,0.078,0.0230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2550
Bogotá,Total Bogotá,2003,0.9490,NA,0.7305,1.0700,1.0520,0.6530,NA,NA,NA,0.8548,0.7242,0.4251,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0320,0.0220,NA,NA,NA,NA,NA,NA,NA,NA,0.027,0.0150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2560
Bogotá,Total Bogotá,2004,0.9670,NA,0.6882,1.0620,1.0500,0.8320,NA,NA,NA,0.8508,0.6886,0.3717,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0320,0.0220,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0.0160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2700
Bogotá,Total Bogotá,2005,0.9690,NA,0.6990,1.0620,1.0450,0.8410,NA,0.9070,NA,0.8979,0.7380,0.4451,NA,NA,NA,NA,6434,NA,NA,NA,NA,0.0320,0.0190,NA,NA,NA,NA,NA,NA,NA,NA,0.031,0.0180,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240,NA,NA,NA,30.37,136490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2840
Bogotá,Total Bogotá,2006,0.9710,NA,0.7192,1.0570,1.0400,0.8570,NA,0.9070,NA,0.9073,0.7548,0.4657,NA,NA,NA,NA,5993,NA,NA,NA,NA,0.0350,0.0180,NA,NA,NA,NA,NA,NA,NA,NA,0.031,0.0150,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0210,NA,NA,NA,30.97,171338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3010
Bogotá,Total Bogotá,2007,0.9870,NA,0.7492,1.0760,1.0520,0.8590,NA,0.9220,NA,0.8549,0.7932,0.5479,NA,NA,NA,NA,4521,NA,NA,NA,NA,0.0360,0.0150,NA,NA,NA,NA,NA,NA,NA,NA,0.034,0.0140,NA,NA,NA,NA,NA,NA,NA,NA,10.56,0.0050,NA,NA,NA,30.00,206791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3160
Bogotá,Total Bogotá,2008,1.0259,NA,0.9250,1.0880,1.0670,0.8450,NA,0.9649,0.8600,1.0390,0.9060,0.6210,NA,NA,NA,NA,5148,NA,NA,NA,109416,0.0360,0.0150,NA,NA,NA,NA,NA,NA,NA,NA,0.0319,0.0130,NA,NA,NA,NA,NA,NA,NA,NA,10.63,0.0057,NA,NA,NA,29.50,224024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1810,0.6120,0.3210,0.4640,0.8220,0.3880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3410
