Localidad,Anio,ncmb_1,ncmb_2,ncmb_3,ncmb_4,ncmb_5,ncmb_6,ws_1,ws_2,ws_3,vsp_1,vsp_2,vsp_3,vsp_4,sp_1,sp_2,sp_3,abc_1,abc_2,abc_3,abc_4,aic_1,aic_2,aic_3,hw_1,hw_2,hw_3,hw_4,es_1,es_2,es_3,es_4,pr_1,pr_2,pr_3,pr_4,pfc_1,pfc_2,pfc_3,ti_1,ti_2,ti_3,ti_4,ti_5,aes_1,aes_2,aes_3,aes_4
Usaquén,2009,0.13,0.06,31.0,8178.0,14.8,7.6,999.0,997.0,993.0,0.0366,0.0216,0.9534,0.9184,57.0,15.5,15.3,9.0,1.0,0.91,311.0,652.0,802.0,0.72,77.3,3.2,12.3,158.0,5,5,24965.0,364.0,486.0,605.0,177.0,536.0,1.1754,936.0,96631.0,0.7365,0.1451,0.6875,0.2299,0.5013,43.5,46.06,0.1552,211.0
Usaquén,2010,124.0,56.0,31.6,5749.0,11.9,7.1,999.0,997.0,995.0,0.0366,0.0216,0.9534,0.9184,73.7,22.1,5.7,9.0,1.0,0.93,315.2,683.0,857.0,0.72,77.5,3.4,21.4,135.0,5,5,24.7,312.0,486.0,605.0,131.0,536.0,1.3257,939.0,95606.0,0.8054,0.1567,0.6875,0.1938,0.5013,43.74,46.04,0.1454,0.2618
Usaquén,2011,126.0,0.05,68.0,5266.0,17.9,7.7,1.0,998.0,991.0,0.0366,0.0216,0.9534,0.9184,87.0,13.9,7.2,9.0,1.0,1.0,317.3,714.0,912.0,0.72,77.6,4.2,18.1,113.0,5,5,34122.0,261.0,486.0,605.0,85.0,0.54,0.6674,939.0,94572.0,0.6556,0.1684,0.6875,0.4036,0.5013,46.55,47.05,0.1357,0.3126
Usaquén,2012,132.0,54.0,16.3,7919.0,16.5,7.7,999.0,998.0,993.0,35.0,0.0198,0.9594,0.9076,199.7,9.4,6.9,9.0,1.0,1.0,319.4,688.0,906.0,724.0,77.8,5.0,18.8,134.0,5,5,38347.0,331.0,0.46,611.0,93.0,0.54,1.1636,928.0,93575.0,0.6997,0.1638,0.7453,0.3035,0.4958,45.81,47.65,0.1064,0.3198
Usaquén,2013,126.0,48.0,0.0,7014.0,19.2,10.0,999.0,998.0,996.0,0.0334,0.0181,0.9655,0.8968,133.3,12.8,3.7,0.01,1.0,0.91,312.4,661.0,901.0,728.0,78.0,3.3,20.4,156.0,5,5,29293.0,402.0,435.0,616.0,102.0,0.54,0.6848,916.0,92829.0,0.7434,0.1592,0.8031,0.3997,0.4903,45.11,48.1,0.0771,327.0
Usaquén,2014,122.0,51.0,33.3,7014.0,21.2,10.0,0.9995,0.9981,0.9945,0.0318,0.0163,0.9655,0.8968,133.3,13.0,5.7,0.01,991.0,0.92,312.4,661.0,901.0,732.0,78.0,4.1,18.3,156.0,5,5,29293.0,402.0,435.0,616.0,102.0,0.54,1.5022,916.0,92.13,0.7434,0.1592,0.8031,0.3997,0.4903,50.32,51.26,0.0771,327.0
Chapinero,2009,156.0,66.0,53.4,12974.0,58.8,11.2,1.0,999.0,995.0,0.0207,0.0066,973.0,0.9438,57.0,16.0,10.0,6.0,1.0,1.0,299.7,693.0,843.0,812.0,77.3,8.4,19.7,78.0,5,5,136613.0,291.0,414.0,561.0,109.0,499.0,0.2946,0.95,115243.0,0.7729,0.1957,0.6509,0.2992,0.5121,43.14,46.13,0.2121,0.2651
Chapinero,2010,143.0,59.0,0.0,8316.0,61.2,3.7,1.0,999.0,995.0,0.0207,0.0066,973.0,0.9438,73.7,15.1,9.1,6.0,1.0,1.0,312.4,705.0,866.0,812.0,77.4,9.8,26.9,103.0,5,5,135328.0,309.0,414.0,561.0,105.0,499.0,0.9317,955.0,114.16,0.7679,182.0,0.6509,295.0,0.5121,43.31,45.95,184.0,0.2832
Chapinero,2011,144.0,48.0,53.1,17193.0,67.3,13.8,1.0,999.0,1.0,0.0207,0.0066,973.0,0.9438,87.0,15.7,17.2,6.0,1.0,1.0,318.7,716.0,889.0,812.0,77.6,9.0,33.1,127.0,5,5,145764.0,327.0,414.0,561.0,102.0,488.0,1.8524,955.0,112874.0,0.7308,0.1684,0.6509,0.1891,0.5121,46.55,47.36,0.1559,0.3014
Chapinero,2012,146.0,0.05,0.0,9618.0,48.1,8.6,1.0,999.0,998.0,0.0221,0.0072,0.9731,0.9286,199.7,6.7,11.8,6.0,1.0,1.0,325.0,684.0,867.0,813.0,77.7,8.1,22.5,0.13,5,5,159811.0,264.0,433.0,533.0,134.0,488.0,0.6154,0.94,111719.0,0.6401,0.1616,0.7252,0.1309,0.4394,44.64,46.14,0.1436,0.2696
Chapinero,2013,131.0,48.0,0.0,16135.0,63.8,9.4,1.0,999.0,999.0,0.0235,0.0079,0.9732,0.9134,281.6,9.5,9.5,6.0,0.9863,0.98,288.1,651.0,845.0,813.0,77.9,8.1,33.5,133.0,5,5,88008.0,203.0,451.0,505.0,166.0,488.0,1248.0,925.0,112.21,0.7888,0.1549,0.7995,0.21560000000000001,0.3667,43.16,47.12,0.1314,0.2378
Chapinero,2014,113.0,47.0,0.0,16135.0,80.1,8.9,0.9999,0.9988,1.0,0.0248,0.0086,0.9732,0.9134,281.6,5.8,11.7,6.0,0.9709,0.98,288.1,651.0,845.0,814.0,77.9,4.4,13.1,133.0,5,5,88008.0,203.0,451.0,505.0,166.0,488.0,1.0377,925.0,111.45,0.7888,0.1549,0.7995,0.21560000000000001,0.3667,47.41,49.36,0.1314,0.2378
Santa Fe,2009,151.0,81.0,107.9,14561.0,72.8,14.0,1.0,999.0,1.0,0.0735,0.0677,0.9647,0.8964,154.2,75.5,5.4,24.0,0.9949,0.97,286.0,413.0,747.0,564.0,72.0,5.5,25.9,118.0,5,5,0.0,395.0,324.0,425.0,0.11,495.0,2.6679,921.0,73715.0,0.6667,0.1687,0.8069,194.0,567.0,42.67,46.07,0.1002,0.0906
Santa Fe,2010,135.0,65.0,0.0,19991.0,34.5,11.8,1.0,998.0,1.0,0.0735,0.0677,0.9647,0.8964,138.4,71.8,25.4,24.0,944.0,0.94,290.6,418.0,779.0,564.0,72.3,7.3,35.5,115.0,5,5,0.0,362.0,324.0,425.0,82.0,495.0,2508.0,921.0,73604.0,0.7321,0.1847,0.8069,0.1764,567.0,43.9,45.88,97.0,0.1116
Santa Fe,2011,143.0,54.0,0.0,20.91,71.8,16.7,1.0,998.0,1.0,0.0735,0.0677,0.9647,0.8964,180.1,56.4,17.3,24.0,0.8909,0.9,292.9,423.0,0.81,564.0,72.7,10.0,38.4,112.0,5,5,0.0,349.0,324.0,425.0,55.0,461.0,2.1008,921.0,73641.0,0.8445,0.2007,0.8069,0.0703,567.0,45.59,45.5,0.0939,0.1326
Santa Fe,2012,134.0,54.0,0.0,17.28,40.9,12.8,1.0,999.0,1.0,0.0741,0.0761,0.9555,0.8913,273.7,43.7,16.4,28.0,0.8296,0.81,295.2,456.0,821.0,0.56,73.1,8.2,33.7,126.0,5,5,0.0,374.0,353.0,0.42,65.0,461.0,2.3918,907.0,73666.0,0.6515,0.1918,0.8211,0.2241,0.5344,43.9,45.95,0.0952,0.1515
Santa Fe,2013,154.0,49.0,62.0,24558.0,46.4,13.0,1.0,999.0,1.0,0.0746,0.0845,0.9464,0.8861,442.0,50.9,18.2,31.0,0.8128,0.81,290.1,0.49,833.0,557.0,73.5,4.5,26.0,0.14,5,5,0.0,398.0,383.0,415.0,74.0,461.0,3.4339,893.0,73673.0,0.7556,0.1829,0.8353,0.2064,0.5018,42.49,46.44,0.0966,0.1704
Santa Fe,2014,143.0,47.0,0.0,24558.0,54.6,6.4,0.9999,0.9988,0.9999,0.0752,0.0929,0.9464,0.8861,442.0,63.6,16.4,35.0,0.7635,0.78,290.1,0.49,833.0,553.0,73.5,9.1,17.7,0.14,5,5,0.0,398.0,383.0,415.0,74.0,461.0,1.0317,893.0,73654.0,0.7556,0.1829,0.8353,0.2064,0.5018,47.83,49.23,0.0966,0.1704
San Cristóbal,2009,146.0,79.0,51.5,12431.0,15.1,14.3,1.0,994.0,985.0,0.1,0.1026,0.9611,0.8476,143.8,24.6,6.0,28.0,1.0,0.76,285.5,535.0,797.0,479.0,72.0,4.1,20.4,93.0,3,3,6337.0,693.0,277.0,508.0,74.0,554.0,2.0476,896.0,63618.0,0.8355,0.1274,0.7504,0.1644,441.0,43.28,46.01,0.0895,0.0897
San Cristóbal,2010,146.0,71.0,54.2,13.41,19.5,11.5,1.0,993.0,985.0,0.1,0.1026,0.9611,0.8476,110.2,26.6,5.1,28.0,1.0,0.83,293.4,536.0,0.84,479.0,72.4,3.4,25.8,93.0,3,3,6339.0,581.0,277.0,508.0,75.0,554.0,2.7454,887.0,63636.0,0.6954,0.1908,0.7504,0.4185,441.0,43.88,45.73,0.0888,0.0982
San Cristóbal,2011,141.0,71.0,28.9,10249.0,21.2,13.9,1.0,993.0,997.0,0.1,0.1026,0.9611,0.8476,162.0,25.4,7.1,28.0,1.0,0.86,297.3,537.0,884.0,479.0,72.8,3.7,27.4,93.0,3,3,14641.0,469.0,277.0,508.0,75.0,501.0,1.7254,887.0,63.69,0.5483,0.2541,0.7504,0.4322,441.0,44.88,45.76,0.0882,0.1067
