id,label,Dimensión,Fuente,Tipo de Fuente
Localidad,Nombre de la Localidad,Variables de Identificación,Variables de Identificación,Variables de Identificación
Anio,Año al que corresponde el indicador,Variables de Identificación,Variables de Identificación,Variables de Identificación
ncmb_1,Prevalencia de bajo peso al nacer,Necesidades Humanas Básicas,Secretaría de Salud,Entidad del distrito
ncmb_2,Prevalencia de desnutrición crónica en menores de cinco años,Necesidades Humanas Básicas,Secretaría de Salud,Entidad del distrito
ncmb_3,Razón de mortalidad materna x 100.000 NV,Necesidades Humanas Básicas,Secretaría de Salud,Entidad del distrito
ncmb_4,Tasa de mortalidad Por enfermedades infecciosas y parasitarias (x 100.000 hab),Necesidades Humanas Básicas,Secretaría de Salud,Entidad del distrito
ncmb_5,Tasa de Incidencia del VIH * 100,Entidad del distrito,000 hab,Secretaría de Salud
ncmb_6,Tasa de mortalidad en menores de 1 año por 1.000 NV,Necesidades Humanas Básicas,Secretaría de Salud,Entidad del distrito
ws_1,Tasa de cobertura acueducto,Necesidades Humanas Básicas,Empresa de Acueducto y Alcantarillado de Bogotá,Entidad del distrito
ws_2,Tasa de cobertura alcantarillado,Necesidades Humanas Básicas,Empresa de Acueducto y Alcantarillado de Bogotá,Entidad del distrito
ws_3,Tasa de cobertura alcantarillado pluvial,Necesidades Humanas Básicas,Empresa de Acueducto y Alcantarillado de Bogotá,Entidad del distrito
vsp_1,Déficit cualitativo de vivienda (% hogares),Necesidades Humanas Básicas,Encuesta Multipropósito de Bogotá,Encuesta Multipropósito de Bogotá
vsp_2,Déficit cuantitativo de Vivienda (% hogares),Necesidades Humanas Básicas,Encuesta Multipropósito de Bogotá,Encuesta Multipropósito de Bogotá
vsp_3,Porcentaje de personas que se siente bien en su casa,Necesidades Humanas Básicas,Encuesta Bienal de Culturas,Encuesta Bienal de Culturas
vsp_4,Porcentaje de personas que se siente bien en su barrio,Necesidades Humanas Básicas,Encuesta Bienal de Culturas,Encuesta Bienal de Culturas
sp_1,Tasa de lesiones Personales,Necesidades Humanas Básicas,Medicina Legal,Entidad Nacional
sp_2,Tasa de homicidios por 100.000 habitantes,Necesidades Humanas Básicas,Medicina Legal,Entidad Nacional
sp_3,Tasa de mortalidad en accidentes de tránsito por cada 100.000 habitantes,Necesidades Humanas Básicas,Secretaría de Movilidad,Entidad del distrito
