Ciudad,anio,NCB,ASB,VSP,SP,NHB,ACB,AIC,SB,SA,FB,DP,LPE,TI,AES,Op,IPS
Barranquilla,2009,58.0831138237,93.0790915793,53.4475699865,62.1447298262,66.6886263039,73.5313693618,8.1934240263,62.3007947646,56.2295737528,50.0637904764,25.5678402973,73.9609094936,31.0956081701,22.4649224148,38.2723200939,51.6749122914
Bogotá,2009,76.8044427649,82.9639249672,78.9771077876,68.3811876712,76.7816657977,91.16426614,47.6415127584,75.7170924765,70.1876446357,71.1776290027,41.4100847527,66.6677491786,11.0372988741,45.273614635,41.0971868601,63.0188272202
Bucaramanga,2009,74.18368406,86.5720676424,61.7001985108,39.8525117481,65.5771154903,84.0537331174,47.5327626998,39.8048176918,81.8273478809,63.3046653475,53.7713887481,43.9238494729,85.9200868616,59.5378591522,60.7882960587,63.2233589655
Cali,2009,70.7765768867,77.3917927749,55.9582510011,8.6814916818,53.2020280861,63.1602390523,23.3851468432,41.2482377157,67.1883341211,48.7454894331,24.2515751794,55.7462703609,42.9373594501,17.188839189,35.0310110449,45.6595095214
Cartagena,2009,62.3829317935,81.8095990762,32.8698180011,61.5485278742,59.6527191862,56.6302662562,16.1844044968,71.9558031933,54.6562305261,49.8566761181,8.1964858519,30.9032859656,17.0027608781,17.8638550091,18.4915969262,42.6669974102
Ibagué,2009,75.3157464333,78.4062533061,48.8887715034,44.189925224,61.7001741167,63.0207375916,34.2077651795,54.3535094071,72.586237151,56.0420623323,62.5230009351,30.114999707,48.3674916838,19.0317846917,40.0093192544,52.5838519012
Manizales,2009,80.3521876708,98.1792126795,90.1584504868,45.6546330458,78.5861209707,80.9447971627,43.5123254751,21.0878284157,74.9610132856,55.1264910848,58.1209183083,58.6432063448,72.1036826033,43.159676149,58.0068708514,63.9064943023
Medellín,2009,75.6080878302,95.9299333939,84.4324240232,16.3718091834,68.0855636077,82.2776897472,27.9006006383,40.4332745621,75.4368292819,56.5120985574,55.7301789802,60.012679884,42.9103454301,38.043458827,49.1741657803,57.9239426485
Pereira,2009,69.6741266157,95.4061408128,78.9867027865,22.716518393,66.695872152,71.8416752236,37.5098523199,37.8600025598,88.065714402,58.8193111263,62.4006493564,61.2580930691,53.0938667483,22.4957453684,49.8120886356,58.4424239713
Valledupar,2009,62.5254266271,85.1172116664,47.8830126034,40.4028887065,58.9821349009,46.6236515322,18.4293792287,49.2195248041,73.5795407691,46.9630240835,56.6608791752,33.72819583,57.8892730144,16.0781276023,41.0891189055,49.0114259633
Barranquilla,2010,54.839224382,89.549075234,51.1157976929,68.369862146,65.9684898637,76.6397776899,16.8898615984,63.9837532254,35.9420486321,48.3638602864,25.5627750505,77.095523689,31.0956081701,24.3211510571,39.5187644917,51.2837048806
Bogotá,2010,78.8643320881,79.5836725991,77.068885794,67.9204142567,75.8593261845,89.371664017,57.7421218247,77.3344768285,69.5057031781,73.4884914621,40.0400968804,67.5091340033,11.0372988741,52.5363663885,42.7807240366,64.0428472277
Bucaramanga,2010,73.239572656,86.3298232662,63.5188073689,51.8667699664,68.7387433144,85.982989923,58.0481157475,32.4774386777,68.7694916479,61.319508999,53.7713887481,46.3519239498,85.9200868616,64.8760704787,62.7298675095,64.2627066076
Cali,2010,69.8637027507,83.9003042393,60.1746995067,16.0878911152,57.506649403,61.505041106,30.3311552036,40.6137669912,77.1135645975,52.3908819746,26.2134911146,54.0719109603,42.9373594501,22.0029627643,36.3064310723,48.73465415
Cartagena,2010,62.4297399001,84.0687646688,31.2843696001,67.1912752261,61.2435373488,59.0366929154,25.4723026164,81.5785198286,33.8533955393,49.9852277249,11.0272305555,37.9592197846,18.6710026435,18.978849181,21.6590755411,44.2959468716
Ibagué,2010,73.9295890424,78.9382721171,48.0742917895,43.9597920977,61.2254862617,64.167268291,43.2025209968,45.0443399814,73.3680715658,56.4455502088,62.5230009351,29.4616344874,48.3674916838,25.7921987902,41.5360814741,53.0690393149
Manizales,2010,69.1582399048,98.335998178,92.2920645509,37.0062263236,74.1981322393,80.999096077,54.1676715072,16.447482602,72.8312339832,56.1113710424,58.1209183083,58.0500974122,72.1036826033,47.8760655733,59.0376909743,63.1157314187
Medellín,2010,74.3834477442,97.6152364265,87.8030563218,21.5130468915,70.328696846,83.2310012026,38.6666058533,41.7855945985,74.7191565557,59.6005895525,56.568910363,63.0660582173,45.035806513,40.4721514395,51.2857316332,60.4050060106
Pereira,2010,66.1169056547,95.1753507527,78.5365786149,32.5449764082,68.0934528576,71.8494969616,40.5001171163,36.2568998385,84.3459234965,58.2381093532,62.4006493564,63.8220602939,53.0938667483,29.211334135,52.1319776334,59.4878466148
Valledupar,2010,57.5788495051,85.2258802812,50.3011678547,37.1088149301,57.5536781428,46.1056551071,25.4963528402,61.9781743975,62.3303719447,48.9776385724,56.6608791752,37.2042124461,57.8892730144,14.5116534887,41.5665045311,49.3659404154
