Objetivos,Metas,Indicadores,Ciudad,Valor,Fuente
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.1 Incidencia de pobreza monetaria extrema,Barranquilla,2.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria extrema-Hombres,Barranquilla,2.30,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria extrema-Mujeres,Barranquilla,2.60,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria extrema-Menores de 25 años,Barranquilla,3.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria extrema-Personas entre 25 y 65 años,Barranquilla,1.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria extrema-Mayores de 65 años,Barranquilla,2.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria extrema-Ocupados,Barranquilla,1.20,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria extrema-Desocupados,Barranquilla,4.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria extrema-Inactivos,Barranquilla,3.10,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.2.1 Incidencia de pobreza monetaria,Barranquilla,22.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria-Hombres,Barranquilla,21.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria-Mujeres,Barranquilla,22.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria-Menores de 25 años,Barranquilla,28.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria-Personas entre 25 y 65 años,Barranquilla,17.50,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria-Mayores de 65 años,Barranquilla,13.90,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria-Ocupados,Barranquilla,15.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria-Desocupados,Barranquilla,30.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria-Inactivos,Barranquilla,25.00,DANE
Objetivo1,1.2   Para 2030 reducir a menos de la mitad la proporción de hombres. mujeres y niños de todas las edades viviendo en la pobreza en todas sus dimensiones de acuerdo con las definiciones nacionales.,1.2.2.1 Índice de Pobreza Multidimensional,Barranquilla,No Disponible,DANE
