Variable,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo (Red Cómo Vamos),Anillo,Capitulo (Bogotá),Entidad responsable,Metodo de recolección ,Descripción del indicador ,Observaciones
Ciudad,Ciudad del dato,No Aplica,Texto,Nombre de la Ciudad,0. Identificación Datos,Identificación Datos,0. Identificación Datos,.,.,.,.
Localidad,Territorio,No Aplica,Texto,Nombre de la Localidad,0. Identificación Datos,Identificación Datos,0. Identificación Datos,.,.,.,"En el dato correspondiente a la ciudad se asigó el valor ""Total Bogotá"""
Anio,Año del dato,No Aplica,Número,Año,0. Identificación Datos,Escenarios Transversales,0. Identificación Datos,.,.,.,.
01-d-001,Población Total,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo ,Mide el número de personas que habitan en el área cabecera,.
01-d-002,Población Hombres,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo ,Mide el número de hombres que habitan en el área cabecera,.
01-d-003,Población Mujeres ,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo ,Mide el número de hombres que habitan en el área cabecera,.
01-d-005,Extensión territorial área km2 (area urbana),Secretaría de Planeación,Número,Kilómetros Cuadrados,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital en kilómetros cuadrados que tiene el mismo para el area urbana,.
01-d-006,Extensión territorial área km2 (total),Secretaría de Planeación,Número,Kilómetros Cuadrados,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital  en kilometros cuadrados,.
01-d-007,Extensión territorial área hectáreas,Secretaría de Planeación,Número,Hectáreas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital  en Hectáreas,.
01-d-008,Densidad poblacional por Km2 (urbana),DANE,Tasa,Habitantes por cada Km2,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Define la razón existente entre el número de personas que habitan en un territorio y la cantidad de metros cuadrados que tiene el mismo para el area urbana,.
01-d-009,Densidad poblacional por Km2 (total),DANE,Tasa,Habitantes por cada Km2,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Define la razón existente entre el número de personas que habitan en un territorio y la cantidad de Km2 que tiene el mismo,.
01-d-010,Tasa  de Crecimiento de la Población,DANE,Porcentaje,Variación,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide la tasa de crecimiento interanual de la población,.
01-d-011,Índice de Envejecimiento,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de personas con edades de 65 años y más edad sobre la poblaciones de 0-14 años,.
01-d-012,Índice de Envejecimiento Hombres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de hombres con edades de 65 años y más edad sobre la poblaciones de 0-14 años,.
01-d-013,Índice de Envejecimiento Mujeres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de mujeres con edades de 65 años y más edad sobre la poblaciones de 0-14 años,.
01-d-014,Tasa de Dependencia,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,.
01-d-015,Tasa de Dependencia hombres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes hobres (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,.
01-d-016,Tasa de Dependencia mujeres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes mujeres (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,.
01-d-017,Porcentaje de Población Indígena,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el porcentaje de la población indígena ,Solo Disponible para el censo 2005
01-d-018,Porcentaje de Población Afrodescendientes ,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el porcentaje de la población  afrodescendiente,Solo Disponible para el censo 2005
01-d-019,Esperanza de vida al nacer,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Encuesta,Mide el número promedio de años que vivirían los integrantes de una cohorte hipotética de personas que permaneciese sujeta a la mortalidad imperante en la población en estudio desde su nacimiento hasta su extinción. ,.
01-d-020,Esperanza de vida al nacer Hombres,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Censo,Número promedio de años que viviría un hombre siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado período,.
01-d-021,Esperanza de vida al nacer Mujeres,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Censo,Número promedio de años que viviría una mujer siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado período,.
02-p-004,coeficiente de Gini de los ingresos,DANE,Número,Coeficiente de GINI,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,"Mide el grado de desigualdad de la distribución del ingreso o la desigualdad de la riqueza de un espacio territorial. Toma valores entre 0 y 1, donde 0 indica que todos los individuos tienen el mismo ingreso y 1 indica que sólo un individuo tiene todo el ingreso.",.
02-p-009,Coeficiente de Gini Bogotá Multipróposito,DANE,Número,Coeficiente de GINI,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Mide el grado de desigualdad de la distribución del ingreso o la desigualdad de la riqueza de un espacio territorial. Toma valores entre 0 y 1, donde 0 indica que todos los individuos tienen el mismo ingreso y 1 indica que sólo un individuo tiene todo el ingreso.",.
02-p-010,Índice de condiciones de vida ICV Multipropósito,DANE,Número,ICV. Valor de 0 a 100,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Este índice asigna a cada hogar un puntaje que varía entre 0 y 100, aumentando cuando mejoran las condiciones de vida del hogar, es decir, que a mayor puntaje, mejores condiciones de vida de la población analizada.   ",.
02-p-011,Índice de Pobreza Multidimensional Bogotá ,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Refleja las carencias – Privaciones – en las condiciones básicas que requieren los hogares o personas de una sociedad para alcanzar el bienestar.  Se construye con base a cinco dimensiones: las condiciones educativas del hogar, las condiciones de la niñez y la juventud, la salud, el trabajo, el acceso a los servicios públicos domiciliarios y las condiciones de la vivienda. Estas 5 dimensiones involucran 15 indicadores, obtenidos a través de la Encuesta Nacional de Calidad de Vida. Según el resultado del índice son considerados pobres los hogares que tengan privación en por lo menos 5 de los 15 indicadores.",.
02-p-012,Índice de Pobreza Multidimensional Multipropósito ,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Refleja las carencias – Privaciones – en las condiciones básicas que requieren los hogares o personas de una sociedad para alcanzar el bienestar.  Se construye con base a cinco dimensiones: las condiciones educativas del hogar, las condiciones de la niñez y la juventud, la salud, el trabajo, el acceso a los servicios públicos domiciliarios y las condiciones de la vivienda. Estas 5 dimensiones involucran 15 indicadores, obtenidos a través de la Encuesta Nacional de Calidad de Vida. Según el resultado del índice son considerados pobres los hogares que tengan privación en por lo menos 5 de los 15 indicadores.",.
02-p-002,Incidencia pobreza monetaria extrema,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir el costo mensual  de una canasta alimentaria mínima que garantice un adecuado consumo calórico. Está expresada como el costo mínimo de una canasta (valor definido para Bogota) para satisfacer un umbral mínimo de necesidades nutricionales. ,.
02-p-013,Población bajo la línea de indigencia Bogotá Multipropósito,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir el costo mensual  de una canasta alimentaria mínima que garantice un adecuado consumo calórico. Está expresada como el costo mínimo de una canasta (valor definido para Bogota) para satisfacer un umbral mínimo de necesidades nutricionales. ,.
02-p-001,Incidencia pobreza monetaria,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir los costos totales de todos los bienes y servicios esenciales que una persona consume en un determinado periodo. Identifica a las personas que carecen de los ingresos suficientes para adquirir un conjunto de bienes y servicios destinados a satisfacer sus necesidades elementales. ,.
02-p-014,Población bajo la línea de pobreza Bogotá Multipropósito,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir los costos totales de todos los bienes y servicios esenciales que una persona consume en un determinado periodo,.
